cgmlst-dists	CZ21	CZ26	HY04	LY21	XY156	XY158	XY160	XY167	XY183	XY185	XY188	XY190	XY206	XY207	XY215	XY234	XY241	XY270	XY276	XY284	XY295	XY314	XY318	XY464	YZ04	ZZ03
CZ21	0	1837	1838	1837	1838	1836	1837	1837	3	1838	1889	1889	1837	1837	1836	1836	1838	1840	1837	1888	1840	1836	1838	1838	1836	1837
CZ26	1837	0	94	10	7	7	7	87	1838	40	1520	1520	33	33	22	7	94	55	39	1519	56	24	8	93	8	25
HY04	1838	94	0	98	95	95	97	17	1839	89	1508	1508	84	84	89	95	28	105	87	1507	108	92	96	1	96	94
LY21	1837	10	98	0	9	5	9	90	1838	41	1521	1521	39	39	24	5	98	58	43	1520	61	28	8	97	10	29
XY156	1838	7	95	9	0	6	6	89	1839	44	1520	1520	36	36	25	6	95	57	42	1519	60	28	5	94	7	28
XY158	1836	7	95	5	6	0	4	89	1837	38	1520	1520	34	34	19	0	95	57	38	1519	58	24	5	94	5	24
XY160	1837	7	97	9	6	4	0	91	1838	42	1521	1521	36	36	21	4	97	59	40	1520	60	28	4	96	7	26
XY167	1837	87	17	90	89	89	91	0	1838	81	1507	1507	76	76	83	89	25	100	81	1506	103	85	90	16	90	86
XY183	3	1838	1839	1838	1839	1837	1838	1838	0	1839	1890	1890	1838	1838	1837	1837	1839	1841	1838	1889	1841	1837	1839	1839	1837	1838
XY185	1838	40	89	41	44	38	42	81	1839	0	1518	1518	20	20	31	38	90	52	4	1517	53	35	43	88	43	35
XY188	1889	1520	1508	1521	1520	1520	1521	1507	1890	1518	0	0	1514	1514	1519	1520	1508	1519	1516	4	1521	1519	1520	1507	1520	1518
XY190	1889	1520	1508	1521	1520	1520	1521	1507	1890	1518	0	0	1514	1514	1519	1520	1508	1519	1516	4	1521	1519	1520	1507	1520	1518
XY206	1837	33	84	39	36	34	36	76	1838	20	1514	1514	0	0	27	34	85	48	18	1513	49	30	37	83	35	30
XY207	1837	33	84	39	36	34	36	76	1838	20	1514	1514	0	0	27	34	85	48	18	1513	49	30	37	83	35	30
XY215	1836	22	89	24	25	19	21	83	1837	31	1519	1519	27	27	0	19	90	50	31	1518	51	11	23	88	24	19
XY234	1836	7	95	5	6	0	4	89	1837	38	1520	1520	34	34	19	0	95	57	38	1519	58	24	5	94	5	24
XY241	1838	94	28	98	95	95	97	25	1839	90	1508	1508	85	85	90	95	0	107	88	1507	110	93	96	27	96	95
XY270	1840	55	105	58	57	57	59	100	1841	52	1519	1519	48	48	50	57	107	0	52	1518	3	52	58	104	58	55
XY276	1837	39	87	43	42	38	40	81	1838	4	1516	1516	18	18	31	38	88	52	0	1515	53	36	41	86	41	33
XY284	1888	1519	1507	1520	1519	1519	1520	1506	1889	1517	4	4	1513	1513	1518	1519	1507	1518	1515	0	1520	1518	1519	1506	1519	1517
XY295	1840	56	108	61	60	58	60	103	1841	53	1521	1521	49	49	51	58	110	3	53	1520	0	53	61	107	59	56
XY314	1836	24	92	28	28	24	28	85	1837	35	1519	1519	30	30	11	24	93	52	36	1518	53	0	29	91	27	24
XY318	1838	8	96	8	5	5	4	90	1839	43	1520	1520	37	37	23	5	96	58	41	1519	61	29	0	95	8	27
XY464	1838	93	1	97	94	94	96	16	1839	88	1507	1507	83	83	88	94	27	104	86	1506	107	91	95	0	95	93
YZ04	1836	8	96	10	7	5	7	90	1837	43	1520	1520	35	35	24	5	96	58	41	1519	59	27	8	95	0	27
ZZ03	1837	25	94	29	28	24	26	86	1838	35	1518	1518	30	30	19	24	95	55	33	1517	56	24	27	93	27	0
